GeoFips,GeoName,2008,2009,2010,2011,2012
36140,"Ocean City, NJ (Metropolitan Statistical Area)",97550,97238,97266,96603,96415
,,,,,,
36220,"Odessa, TX (Metropolitan Statistical Area)",133064,136930,137104,139691,144609
,,,,,,
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",577040,588773,599578,605737,612376
,,,,,,
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",1216645,1237780,1257883,1276416,1297397
,,,,,,
36500,"Olympia-Tumwater, WA (Metropolitan Statistical Area)",244332,249936,253029,256392,258653
,,,,,,
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",845119,856233,868087,876836,885471
,,,,,,
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",2087489,2111917,2139372,2174224,2223456
,,,,,,
